I O O
AM O O
BORN O O
Whether O O
I O O
shall O O
turn O O
out O O
to O O
be O O
the B-PER O
hero I-PER O
of I-PER O
my I-PER O
own I-PER O
life I-PER O
, O O
or O O
whether O O
that O O
station O O
will O O
be O O
held O O
by O O
anybody B-PER O
else I-PER O
, O O
these O O
pages O O
must O O
show O O
. O O
To O O
begin O O
my O O
life O O
with O O
the O O
beginning O O
of O O
my O O
life O O
, O O
I O O
record O O
that O O
I O O
was O O
born O O
( O O
as O O
I O O
have O O
been O O
informed O O
and O O
believe O O
) O O
on O O
a O O
Friday O O
, O O
at O O
twelve O O
o’clock O O
at O O
night O O
. O O
It O O
was O O
remarked O O
that O O
the O O
clock O O
began O O
to O O
strike O O
, O O
and O O
I O O
began O O
to O O
cry O O
, O O
simultaneously O O
. O O
In O O
consideration O O
of O O
the O O
day O O
and O O
hour O O
of O O
my O O
birth O O
, O O
it O O
was O O
declared O O
by O O
the B-PER O
nurse I-PER O
, O O
and O O
by O O
some B-PER O
sage I-PER O
women I-PER O
in I-PER O
the I-PER O
neighbourhood I-PER O
who I-PER O
had I-PER O
taken I-PER O
a I-PER O
lively I-PER O
interest I-PER O
in I-PER O
me I-PER O
several I-PER O
months I-PER O
before I-PER O
there I-PER O
was I-PER O
any I-PER O
possibility I-PER O
of I-PER O
our I-PER O
becoming I-PER O
personally I-PER O
acquainted I-PER O
, O O
first O O
, O O
that O O
I O O
was O O
destined O O
to O O
be O O
unlucky O O
in O O
life O O
; O O
and O O
secondly O O
, O O
that O O
I O O
was O O
privileged O O
to O O
see O O
ghosts O O
and O O
spirits O O
; O O
both O O
these O O
gifts O O
inevitably O O
attaching O O
, O O
as O O
they O O
believed O O
, O O
to O O
all B-PER O
unlucky I-PER O
infants I-PER O
of I-PER O
either I-PER O
gender I-PER O
, I-PER O
born I-PER O
towards I-PER O
the I-PER O
small I-PER O
hours I-PER O
on I-PER O
a I-PER O
Friday I-PER O
night I-PER O
. O O
I O O
need O O
say O O
nothing O O
here O O
, O O
on O O
the O O
first O O
head O O
, O O
because O O
nothing O O
can O O
show O O
better O O
than O O
my O O
history O O
whether O O
that O O
prediction O O
was O O
verified O O
or O O
falsified O O
by O O
the O O
result O O
. O O
On O O
the O O
second O O
branch O O
of O O
the O O
question O O
, O O
I O O
will O O
only O O
remark O O
, O O
that O O
unless O O
I O O
ran O O
through O O
that O O
part O O
of O O
my O O
inheritance O O
while O O
I O O
was O O
still O O
a B-PER O
baby I-PER O
, O O
I O O
have O O
not O O
come O O
into O O
it O O
yet O O
. O O
But O O
I O O
do O O
not O O
at O O
all O O
complain O O
of O O
having O O
been O O
kept O O
out O O
of O O
this O O
property O O
; O O
and O O
if O O
anybody B-PER O
else I-PER O
should O O
be O O
in O O
the O O
present O O
enjoyment O O
of O O
it O O
, O O
he O O
is O O
heartily O O
welcome O O
to O O
keep O O
it O O
. O O
I O O
was O O
born O O
with O O
a O O
caul O O
, O O
which O O
was O O
advertised O O
for O O
sale O O
